Id,SUBURB,SPLIT_SUBURB,COLLECTION_WEEK,GREENWASTE_COLLECTION_WEEK,GARBAGE_COLLECTION_DAY,GARBAGE_COLLECTION_FREQUENCY,GARBAGE_PICKUP_DATE,RECYCLING_COLLECTION_DAY,RECYCLING_COLLECTION_FREQUENCY,RECYCLING_PICKUP_DATE,GREENWASTE_COLLECTION_DAY,GREENWASTE_COLLECTION_FREQUENCY,NEXT_GREENWASTE_DATE,GREENWASTE_TYPE
1,ACTON,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
2,AINSLIE,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
3,AMAROO,,B,Green,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Wednesday,Fortnightly,30/04/2025,Greenwaste
4,ARANDA,,B,Green,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,01/05/2025,Greenwaste
5,BANKS,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
6,BARTON,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
7,BEARD,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
8,BELCONNEN,,A,Green and Yellow,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,01/05/2025,Monday,Weekly,05/05/2025,FOGO Pilot
9,BONNER,,B,Green,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Wednesday,Fortnightly,30/04/2025,Greenwaste
10,BONYTHON,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
11,BRADDON,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
12,BRUCE,,A,Green and Yellow,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,01/05/2025,Friday,Weekly,02/05/2025,FOGO Pilot
13,CALWELL,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
14,CAMPBELL,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
15,CASEY,,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
16,CHAPMAN,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
17,CHARNWOOD,Tuesday,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
18,CHARNWOOD,Wednesday,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
19,CHARNWOOD,Thursday,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
20,CHARNWOOD,Friday,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
21,CHIFLEY,,A,Yellow,Monday,Weekly,05/05/2025,Monday,Fortnightly,12/05/2025,Monday,Fortnightly,05/05/2025,Greenwaste
22,CHISHOLM,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
23,CITY,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
24,CONDER,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
25,COOK,,B,Green and Yellow,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,08/05/2025,Wednesday,Weekly,30/04/2025,FOGO Pilot
26,COOMBS,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
27,CRACE,,B,Green,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Wednesday,Fortnightly,30/04/2025,Greenwaste
28,CURTIN,,A,Yellow,Monday,Weekly,05/05/2025,Monday,Fortnightly,12/05/2025,Monday,Fortnightly,05/05/2025,Greenwaste
29,DEAKIN,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
30,DENMAN PROSPECT,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
31,DICKSON,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
32,DOWNER,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
33,DUFFY,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
34,DUNLOP,North,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
35,DUNLOP,South,B,Green,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,01/05/2025,Greenwaste
36,EVATT,,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,08/05/2025,Greenwaste
37,FADDEN,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
38,FARRER,,A,Yellow,Monday,Weekly,05/05/2025,Monday,Fortnightly,12/05/2025,Monday,Fortnightly,05/05/2025,Greenwaste
39,FISHER,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
40,FLOREY,,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,08/05/2025,Greenwaste
41,FLYNN,,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
42,FORDE,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
43,FORREST,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
44,FRANKLIN,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
45,FRASER,,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
46,FYSHWICK,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
47,GARRAN,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
48,GILMORE,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
49,GIRALANG,,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,08/05/2025,Greenwaste
50,GORDON,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
51,GOWRIE,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
52,GREENWAY,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
53,GRIFFITH,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
54,GUNGAHLIN,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
55,HACKETT,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
56,HALL,,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
57,HARMAN,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
58,HARRISON,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
59,HAWKER,,B,Green,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,01/05/2025,Greenwaste
60,HIGGINS,,B,Green,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,01/05/2025,Greenwaste
61,HOLDER,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
62,HOLT,,B,Green,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,01/05/2025,Greenwaste
63,HUGHES,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
64,ISAACS,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
65,ISABELLA PLAINS,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
66,JACKA,,B,Green,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Wednesday,Fortnightly,30/04/2025,Greenwaste
67,JERRABOMBERRA,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
68,KALEEN,,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,08/05/2025,Greenwaste
69,KAMBAH,,A,Yellow,Monday,Weekly,05/05/2025,Monday,Fortnightly,12/05/2025,Monday,Fortnightly,05/05/2025,Greenwaste
70,KINGSTON,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
71,LATHAM,,B,Green,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,01/05/2025,Greenwaste
72,LAWSON,,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,08/05/2025,Greenwaste
73,LYNEHAM,North,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,08/05/2025,Greenwaste
74,LYNEHAM,South,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
75,LYONS,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
76,MACARTHUR,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
77,MACGREGOR,,B,Green,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,01/05/2025,Greenwaste
78,MACQUARIE,,B,Green and Yellow,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,08/05/2025,Tuesday,Weekly,06/05/2025,FOGO Pilot
79,MAWSON,,A,Yellow,Monday,Weekly,05/05/2025,Monday,Fortnightly,12/05/2025,Monday,Fortnightly,05/05/2025,Greenwaste
80,MCKELLAR,,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,08/05/2025,Greenwaste
81,MELBA,,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
82,MOLONGLO,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
83,MONASH,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
84,MONCRIEFF,,B,Green,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Wednesday,Fortnightly,30/04/2025,Greenwaste
85,NARRABUNDAH,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
86,NGUNNAWAL,,B,Green,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Wednesday,Fortnightly,30/04/2025,Greenwaste
87,NICHOLLS,,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
88,O'CONNOR,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
89,O'MALLEY,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
90,OAKS ESTATE,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
91,OXLEY,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
92,PAGE,,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,08/05/2025,Greenwaste
93,PALMERSTON,,B,Green,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Wednesday,Fortnightly,30/04/2025,Greenwaste
94,PEARCE,,A,Yellow,Monday,Weekly,05/05/2025,Monday,Fortnightly,12/05/2025,Monday,Fortnightly,05/05/2025,Greenwaste
95,PHILLIP,,A,Yellow,Monday,Weekly,05/05/2025,Monday,Fortnightly,12/05/2025,Monday,Fortnightly,05/05/2025,Greenwaste
96,PIALLIGO,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
97,RED HILL,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
98,REID,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
99,RICHARDSON,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
100,RIVETT,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
101,SCULLIN,,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,08/05/2025,Greenwaste
102,SPENCE,,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
103,STIRLING,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
104,STRATHNAIRN,,B,Green,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,01/05/2025,Greenwaste
105,TAYLOR,,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
106,THARWA,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
107,THEODORE,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
108,THROSBY,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
109,TORRENS,,A,Yellow,Monday,Weekly,05/05/2025,Monday,Fortnightly,12/05/2025,Monday,Fortnightly,05/05/2025,Greenwaste
110,TURNER,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
111,URIARRA VILLAGE,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
112,WANNIASSA,,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Tuesday,Fortnightly,06/05/2025,Greenwaste
113,WARAMANGA,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
114,WATSON,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
115,WEETANGERA,,B,Green,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,01/05/2025,Greenwaste
116,WESTON,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
117,WHITLAM,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
118,WRIGHT,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
119,YARRALUMLA,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
